# source_commit: placeholder
# generated: 2026-06-06T00:00:00Z
# generator: reshaped from sources/eccv2026_domain_feature_collapse/generated_eurosat_lambda_ablation.csv (OOD variant). EuroSAT TGT loss-weight (lambda) ablation, ResNet-50; FPR@95/AUROC/AUPR-IN/AUPR-OUT/FPR@98 (%). Method names slugged; columns renamed (FPR@95->fpr95 etc.). In-domain variant deferred.
# key_schema: lambda:method
# default_precision: 2
lambda,method,fpr95,auroc,aupr_in,aupr_out,fpr98
0.5,mds,2.78,99.38,97.58,99.85,5.62
0.5,knn,8.45,97.71,93.18,99.46,13.93
0.5,nci,26.85,94.78,81.18,98.76,38.84
0.5,vim,3.22,99.33,97.28,99.85,6.31
0.5,ebo,21.3,95.52,81.05,98.86,37.79
0.5,msp,20.65,95.27,81.42,98.71,36.74
0.5,react,36.08,92.62,72.93,98.23,50.5
0.5,scale,21.16,95.5,81.11,98.85,37.52
1.0,mds,1.8,99.57,98.45,99.87,3.8
1.0,knn,4.77,98.76,95.84,99.66,10.08
1.0,nci,14.23,97.27,90.08,99.32,22.63
1.0,vim,2.27,99.5,98.12,99.86,4.79
1.0,ebo,10.31,97.6,90.0,99.39,20.17
1.0,msp,11.42,96.92,89.31,99.15,20.55
1.0,react,28.67,93.91,79.81,98.51,37.78
1.0,scale,10.19,97.59,90.1,99.38,19.85
1.5,mds,1.84,99.6,98.25,99.9,4.32
1.5,knn,5.97,98.68,94.97,99.71,11.75
1.5,nci,7.48,98.19,94.24,99.58,12.61
1.5,vim,2.23,99.5,98.09,99.89,4.51
1.5,ebo,23.08,94.02,79.74,98.82,39.15
1.5,msp,23.84,93.16,79.45,98.42,39.18
1.5,react,14.84,96.9,88.15,99.36,25.57
1.5,scale,22.87,94.04,79.93,98.82,38.82
2.0,mds,4.81,99.01,96.34,99.75,8.83
2.0,knn,6.1,98.67,95.15,99.67,12.28
2.0,nci,7.57,98.31,94.88,99.52,11.74
2.0,vim,2.69,99.43,97.79,99.85,5.43
2.0,ebo,19.83,95.73,83.01,98.82,34.71
2.0,msp,14.45,96.0,86.63,98.83,26.6
2.0,react,14.58,96.76,88.27,99.15,24.25
2.0,scale,24.47,95.28,81.34,98.74,35.82
