# source_commit: placeholder
# generated: 2026-06-06T00:00:00Z
# generator: hand-transcribed from sources/eccv2026_domain_feature_collapse/generated_geometry_table.tex. Per-dataset feature geometry under CE vs TGT (ResNet-50). r_eff = effective rank; pr = participation ratio; rho64 = share of variance (%) captured by the top-64 principal components.
# key_schema: dataset:variant
# default_precision: 1
dataset,variant,r_eff,pr,rho64
colon,ce,5.2,5.0,100.0
colon,tgt,12.1,6.5,94.6
tissue,ce,5.3,4.1,99.5
tissue,tgt,9.9,5.0,95.2
eurosat,ce,8.1,6.6,99.9
eurosat,tgt,15.9,7.9,92.6
fashion,ce,6.2,5.7,100.0
fashion,tgt,18.0,8.5,93.3
food,ce,65.3,56.8,98.1
food,tgt,117.1,71.5,85.3
rock,ce,307.9,119.9,53.5
rock,tgt,389.3,177.2,46.0
yoga,ce,4.5,2.1,99.5
yoga,tgt,47.0,20.9,90.8
garbage,ce,79.0,30.3,83.9
garbage,tgt,64.9,11.5,81.2
mean,ce,60.2,28.8,91.8
mean,tgt,84.3,38.6,84.9
