Teacher Guided λ,Method,FPR@95,AUROC,AUPR_IN,AUPR_OUT,FPR@98
0.5,Mahalanobis (MDS),2.78,99.38,97.58,99.85,5.62
0.5,Nearest Neigh. (kNN),8.45,97.71,93.18,99.46,13.93
0.5,Neural Collapse (NCI),26.85,94.78,81.18,98.76,38.84
0.5,Virtual-Logit (ViM),3.22,99.33,97.28,99.85,6.31
0.5,Energy-Based (EBO),21.3,95.52,81.05,98.86,37.79
0.5,MaxSoftmax (MSP),20.65,95.27,81.42,98.71,36.74
0.5,ReAct,36.08,92.62,72.93,98.23,50.5
0.5,SCALE,21.16,95.5,81.11,98.85,37.52
1.0,Mahalanobis (MDS),1.8,99.57,98.45,99.87,3.8
1.0,Nearest Neigh. (kNN),4.77,98.76,95.84,99.66,10.08
1.0,Neural Collapse (NCI),14.23,97.27,90.08,99.32,22.63
1.0,Virtual-Logit (ViM),2.27,99.5,98.12,99.86,4.79
1.0,Energy-Based (EBO),10.31,97.6,90.0,99.39,20.17
1.0,MaxSoftmax (MSP),11.42,96.92,89.31,99.15,20.55
1.0,ReAct,28.67,93.91,79.81,98.51,37.78
1.0,SCALE,10.19,97.59,90.1,99.38,19.85
1.5,Mahalanobis (MDS),1.84,99.6,98.25,99.9,4.32
1.5,Nearest Neigh. (kNN),5.97,98.68,94.97,99.71,11.75
1.5,Neural Collapse (NCI),7.48,98.19,94.24,99.58,12.61
1.5,Virtual-Logit (ViM),2.23,99.5,98.09,99.89,4.51
1.5,Energy-Based (EBO),23.08,94.02,79.74,98.82,39.15
1.5,MaxSoftmax (MSP),23.84,93.16,79.45,98.42,39.18
1.5,ReAct,14.84,96.9,88.15,99.36,25.57
1.5,SCALE,22.87,94.04,79.93,98.82,38.82
2.0,Mahalanobis (MDS),4.81,99.01,96.34,99.75,8.83
2.0,Nearest Neigh. (kNN),6.1,98.67,95.15,99.67,12.28
2.0,Neural Collapse (NCI),7.57,98.31,94.88,99.52,11.74
2.0,Virtual-Logit (ViM),2.69,99.43,97.79,99.85,5.43
2.0,Energy-Based (EBO),19.83,95.73,83.01,98.82,34.71
2.0,MaxSoftmax (MSP),14.45,96.0,86.63,98.83,26.6
2.0,ReAct,14.58,96.76,88.27,99.15,24.25
2.0,SCALE,24.47,95.28,81.34,98.74,35.82
