Teacher Guided λ,Method,FPR@95,AUROC,AUPR_IN,AUPR_OUT,FPR@98
0.5,Mahalanobis (MDS),37.47,93.17,96.34,88.64,51.36
0.5,Nearest Neigh. (kNN),44.13,91.31,95.41,84.74,61.56
0.5,Neural Collapse (NCI),61.06,85.4,90.88,79.08,75.65
0.5,Virtual-Logit (ViM),31.61,93.88,96.91,88.99,48.06
0.5,Energy-Based (EBO),47.2,91.22,94.84,85.96,64.3
0.5,MaxSoftmax (MSP),45.59,91.09,94.96,84.03,63.32
0.5,ReAct,68.74,83.41,89.09,78.67,81.78
0.5,SCALE,47.4,91.09,94.77,85.68,65.12
1.0,Mahalanobis (MDS),43.45,89.34,94.53,80.14,59.72
1.0,Nearest Neigh. (kNN),48.31,90.85,95.15,83.65,62.65
1.0,Neural Collapse (NCI),40.21,91.19,94.95,86.34,58.6
1.0,Virtual-Logit (ViM),27.8,94.54,97.27,89.69,45.96
1.0,Energy-Based (EBO),39.32,93.15,95.64,89.02,65.2
1.0,MaxSoftmax (MSP),36.48,92.92,95.79,86.76,61.74
1.0,ReAct,49.51,89.5,94.17,84.32,65.31
1.0,SCALE,40.98,92.87,95.38,88.63,65.51
1.5,Mahalanobis (MDS),42.84,89.34,94.69,80.2,55.9
1.5,Nearest Neigh. (kNN),43.92,89.47,94.72,81.2,57.93
1.5,Neural Collapse (NCI),26.71,94.41,97.26,89.17,39.11
1.5,Virtual-Logit (ViM),20.94,95.31,97.88,89.82,32.14
1.5,Energy-Based (EBO),34.81,93.63,96.48,89.07,51.44
1.5,MaxSoftmax (MSP),33.17,93.04,96.37,85.62,49.88
1.5,ReAct,36.57,93.15,96.2,88.54,51.17
1.5,SCALE,35.35,93.49,96.4,88.79,52.36
2.0,Mahalanobis (MDS),48.73,88.75,93.89,80.1,63.38
2.0,Nearest Neigh. (kNN),50.02,89.65,94.43,82.79,61.62
2.0,Neural Collapse (NCI),32.14,93.09,96.57,87.38,46.17
2.0,Virtual-Logit (ViM),29.28,94.4,97.2,89.45,44.88
2.0,Energy-Based (EBO),38.1,92.97,95.63,88.3,65.91
2.0,MaxSoftmax (MSP),33.73,92.78,95.75,86.29,62.7
2.0,ReAct,49.73,91.06,94.22,87.02,65.21
2.0,SCALE,43.88,92.5,95.21,87.86,68.62
