# source_commit: a2484b1d2b989b9a8f37bf4b59f2925b6e327042
# generated: 2026-05-21T14:31:42Z
# generator: scripts/aggregate_transfer.py
# key_schema: model:method:source:target
# default_precision: 3
model,method,source,target,auroc_mean,auroc_std,n_seeds
Llama-3.1-8B-Instruct,contrastive_logprob_recon,hotpotqa,hotpotqa,0.8511,0.0011,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,hotpotqa,nq,0.6759,0.0051,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,hotpotqa,popqa,0.838,0.0027,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,hotpotqa,sciq,0.7278,0.0025,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,hotpotqa,searchqa,0.7211,0.0036,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,nq,hotpotqa,0.6645,0.0171,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,nq,nq,0.7547,0.0031,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,nq,popqa,0.6765,0.0229,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,nq,sciq,0.5363,0.0087,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,nq,searchqa,0.5828,0.0158,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,popqa,hotpotqa,0.7307,0.0098,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,popqa,nq,0.6214,0.0042,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,popqa,popqa,0.8773,0.0026,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,popqa,sciq,0.6051,0.0139,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,popqa,searchqa,0.6487,0.0071,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,sciq,hotpotqa,0.7081,0.0103,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,sciq,nq,0.6278,0.0056,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,sciq,popqa,0.7384,0.0177,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,sciq,sciq,0.7686,0.0086,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,sciq,searchqa,0.6921,0.0038,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,searchqa,hotpotqa,0.6925,0.0092,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,searchqa,nq,0.6445,0.0053,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,searchqa,popqa,0.7884,0.0043,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,searchqa,sciq,0.7473,0.0038,5
Llama-3.1-8B-Instruct,contrastive_logprob_recon,searchqa,searchqa,0.8062,0.0022,5
Llama-3.1-8B-Instruct,act_vit,hotpotqa,hotpotqa,0.8488,0.0042,5
Llama-3.1-8B-Instruct,act_vit,hotpotqa,nq,0.6806,0.0189,5
Llama-3.1-8B-Instruct,act_vit,hotpotqa,popqa,0.8536,0.0052,5
Llama-3.1-8B-Instruct,act_vit,hotpotqa,sciq,0.7168,0.0149,5
Llama-3.1-8B-Instruct,act_vit,hotpotqa,searchqa,0.7235,0.0034,5
Llama-3.1-8B-Instruct,act_vit,nq,hotpotqa,0.6935,0.0134,5
Llama-3.1-8B-Instruct,act_vit,nq,nq,0.7679,0.004,5
Llama-3.1-8B-Instruct,act_vit,nq,popqa,0.7561,0.0182,5
Llama-3.1-8B-Instruct,act_vit,nq,sciq,0.6594,0.0142,5
Llama-3.1-8B-Instruct,act_vit,nq,searchqa,0.6471,0.0122,5
Llama-3.1-8B-Instruct,act_vit,popqa,hotpotqa,0.5945,0.0179,5
Llama-3.1-8B-Instruct,act_vit,popqa,nq,0.5206,0.0085,5
Llama-3.1-8B-Instruct,act_vit,popqa,popqa,0.7914,0.0146,5
Llama-3.1-8B-Instruct,act_vit,popqa,sciq,0.5558,0.0283,5
Llama-3.1-8B-Instruct,act_vit,popqa,searchqa,0.5468,0.0105,5
Llama-3.1-8B-Instruct,act_vit,sciq,hotpotqa,0.7042,0.0128,5
Llama-3.1-8B-Instruct,act_vit,sciq,nq,0.645,0.014,5
Llama-3.1-8B-Instruct,act_vit,sciq,popqa,0.7646,0.0069,5
Llama-3.1-8B-Instruct,act_vit,sciq,sciq,0.7632,0.0046,5
Llama-3.1-8B-Instruct,act_vit,sciq,searchqa,0.7043,0.0054,5
Llama-3.1-8B-Instruct,act_vit,searchqa,hotpotqa,0.6577,0.0098,5
Llama-3.1-8B-Instruct,act_vit,searchqa,nq,0.6561,0.0189,5
Llama-3.1-8B-Instruct,act_vit,searchqa,popqa,0.8161,0.0052,5
Llama-3.1-8B-Instruct,act_vit,searchqa,sciq,0.7615,0.0123,5
Llama-3.1-8B-Instruct,act_vit,searchqa,searchqa,0.8148,0.0024,5
Llama-3.1-8B-Instruct,llmsknow_probe,hotpotqa,hotpotqa,0.8281,0.0019,5
Llama-3.1-8B-Instruct,llmsknow_probe,hotpotqa,nq,0.5943,0.0331,5
Llama-3.1-8B-Instruct,llmsknow_probe,hotpotqa,popqa,0.8257,0.0074,5
Llama-3.1-8B-Instruct,llmsknow_probe,hotpotqa,sciq,0.6457,0.0083,5
Llama-3.1-8B-Instruct,llmsknow_probe,hotpotqa,searchqa,0.6314,0.0066,5
Llama-3.1-8B-Instruct,llmsknow_probe,nq,hotpotqa,0.6657,0.1178,5
Llama-3.1-8B-Instruct,llmsknow_probe,nq,nq,0.7222,0.006,5
Llama-3.1-8B-Instruct,llmsknow_probe,nq,popqa,0.7139,0.0275,5
Llama-3.1-8B-Instruct,llmsknow_probe,nq,sciq,0.5812,0.0289,5
Llama-3.1-8B-Instruct,llmsknow_probe,nq,searchqa,0.5636,0.023,5
Llama-3.1-8B-Instruct,llmsknow_probe,popqa,hotpotqa,0.5271,0.0506,5
Llama-3.1-8B-Instruct,llmsknow_probe,popqa,nq,0.5795,0.0343,5
Llama-3.1-8B-Instruct,llmsknow_probe,popqa,popqa,0.8705,0.0018,5
Llama-3.1-8B-Instruct,llmsknow_probe,popqa,sciq,0.5739,0.0131,5
Llama-3.1-8B-Instruct,llmsknow_probe,popqa,searchqa,0.5634,0.0168,5
Llama-3.1-8B-Instruct,llmsknow_probe,sciq,hotpotqa,0.5794,0.0218,5
Llama-3.1-8B-Instruct,llmsknow_probe,sciq,nq,0.5603,0.0223,5
Llama-3.1-8B-Instruct,llmsknow_probe,sciq,popqa,0.6857,0.0133,5
Llama-3.1-8B-Instruct,llmsknow_probe,sciq,sciq,0.7088,0.0066,5
Llama-3.1-8B-Instruct,llmsknow_probe,sciq,searchqa,0.6212,0.0064,5
Llama-3.1-8B-Instruct,llmsknow_probe,searchqa,hotpotqa,0.6004,0.0086,5
Llama-3.1-8B-Instruct,llmsknow_probe,searchqa,nq,0.5523,0.0055,5
Llama-3.1-8B-Instruct,llmsknow_probe,searchqa,popqa,0.758,0.0156,5
Llama-3.1-8B-Instruct,llmsknow_probe,searchqa,sciq,0.6873,0.0236,5
Llama-3.1-8B-Instruct,llmsknow_probe,searchqa,searchqa,0.7412,0.0063,5
Llama-3.1-8B-Instruct,saplma,hotpotqa,hotpotqa,0.6891,0.0031,5
Llama-3.1-8B-Instruct,saplma,hotpotqa,nq,0.5691,0.0039,5
Llama-3.1-8B-Instruct,saplma,hotpotqa,popqa,0.6103,0.007,5
Llama-3.1-8B-Instruct,saplma,hotpotqa,sciq,0.5372,0.0064,5
Llama-3.1-8B-Instruct,saplma,hotpotqa,searchqa,0.5674,0.0034,5
Llama-3.1-8B-Instruct,saplma,nq,hotpotqa,0.5473,0.0037,5
Llama-3.1-8B-Instruct,saplma,nq,nq,0.6112,0.007,5
Llama-3.1-8B-Instruct,saplma,nq,popqa,0.5718,0.0072,5
Llama-3.1-8B-Instruct,saplma,nq,sciq,0.5349,0.0136,5
Llama-3.1-8B-Instruct,saplma,nq,searchqa,0.5507,0.0055,5
Llama-3.1-8B-Instruct,saplma,popqa,hotpotqa,0.5651,0.0057,5
Llama-3.1-8B-Instruct,saplma,popqa,nq,0.5445,0.0046,5
Llama-3.1-8B-Instruct,saplma,popqa,popqa,0.7214,0.0048,5
Llama-3.1-8B-Instruct,saplma,popqa,sciq,0.4979,0.0064,5
Llama-3.1-8B-Instruct,saplma,popqa,searchqa,0.5289,0.0033,5
Llama-3.1-8B-Instruct,saplma,sciq,hotpotqa,0.5217,0.0072,5
Llama-3.1-8B-Instruct,saplma,sciq,nq,0.5344,0.0072,5
Llama-3.1-8B-Instruct,saplma,sciq,popqa,0.5377,0.0061,5
